id,Title,description,cause,url
RFT-001,Known Spoil Contamination unexpected volumes,"There is a risk that that the Classified Spoil Contamination volumes may be in excess of most likely estimations
exclu Asbestos  PfAS
Hydrocarbons and other contaminants","1. Type A, B, C 
4. Land Side Earthworks or existing building structures
5. Air Side Earthworks or existing building structures
6. Reinforced concrete waste
",
RFT-100,ABC Approval & Review Delays,"Delays in obtaining Building Permits, Works Permits, or Certificates of Compliance (BACC/WACC) from the Airport Building Controller (ABC).",ABC resource and workload constraints and a mandated 90-business-day processing period for permit applications once lodged in the ABCO platform.,
RFT-102,Sunbury Road Intersection,Risk of additional upgrades  remediation to Sunbury Rd to remediate damage from construction traffic movements,1. additional traffic  truck movements,
RFT-104,Oil Fuel Spills ,Risk of needing to dispose of spoil offsite as a result of oil  fuel spills - and that this spoil is also Cat B  Cat C contaminated  costs additional to dispose of at correct facility,"1. Collision of plant  equipemnt
2. Re-fueling incident
",
RFT-105,Asbestos Finds - Conduits and Telecommunications,Risk of additional unexpected finds of asbestos in utilties requiring additional management over  above assumptions,1. additional contamination over & above assumptions,
RFT-106,Design Fee Growth,Risk of growth in Principal Design Design Fee,"1. design interface issues leading to variations
2. missed scope
3. Scope gaps 
4. Unexpected change
5. Requests for additional information",
RFT-107,Sewer Disposal,Risk that APAM  Federal Approvals are not received for sewer treatment facility at North  South Site Compound locations,1. Approvals not received,
RFT-108,Batch Plant,Risk of protracted set up / operational breakdown of Batch Plant ,1. issues discovered during set up  operation,
RFT-011,Pavement productivities - Shoulder Median,There is a risk that Pavement laying Productivity may be impacted by Lighting cable runs and lighting Deep lower and upper can horizintal and vertical pavement  positioning accuracy requirements.,"1. Interface with utilities
2. Accuracy & QA limits of accuracy",
RFT-110,Plant Workshop Activities,High risk work area with maintenance of large plant and equipment including heavy lifting temportary works plantpeople interactions dangerous chemicals stored energy.,Maintenance of earthworks and pavement plant and equipment on site,
RFT-111,Interface of People  Heavy Construction Plan  Light Vehicles,Risk of HVLV and HVPeople incidents,- plant people and HVLV plant interactions - large volumes of heavy plant,
RFT-112,Heavy Lifting,Requirement for heavy lifting activities of materials for bridge construction drainage pipe installation and ALER buildings,"Poor ground conditions under lifting equipment resulting in overturning of equipment.
Inadequete plant and equipment chosen for lift resulting in overturning of equipme",
RFT-113,Electrical Works,Risk of critical incident during electrical works and isolations including testing and commissioning,Incorrect working near live elctrical services process followed.,
RFT-012,APAM Nominated Sub-Contractors,There is a risk of delay in being able to secure APAM nominated sub-contractors - full or partial crews - in accordance with programme assumptions,"1. limited mark availability
2. competing priorities - O&M activities & other capital works",
RFT-013,"Unknown Utilities - Airside 
",There is a risk that Risk of strike of critical service AGL  ASA  HV  Telstra for Control Tower - resulting in shutdown impacts to Airport Operations,"1. unknown utilities
2. utilities in a different as built location to survey information",
RFT-015,"Service Isolations - Integration and Commissionin
",There is a risk that isolations / outages required for integration are delayed or cancelled for tie-ins  (AGL / MAT99 access - HV Sub-Station Tie In / Comms),1. cancelled or delayed outages for tie in of services,
RFT-016,"Interface with other OM actitivities across APAM site - AIRSIDE

",Risk that there are interface issues with Operations  Maintenance issues resulting in productivity impacts ,"1. Interface & coordination issues
2. Competing priorities",
RFT-017,Existing Drainage Asset Capacity ,There is a risk that there is a requirement for upgrades and increase in capacity to existing drainage as a result of exitsing asset condition  capacity,"1. Existing asset condition
",
RFT-002,"Utility Strike - Minor Utility
",There is a risk of a utility clash strike that may damage utility services,"1. utilty in diffettent location to data received
2. additional utility  unknown",
RFT-021,Interface with other capital works projects across APAM site,Risk that there are interface issues resulting in productivity impacts in particular ALER 2 decommissioning and ALER 3 commissioning,"1. Interface & coordination issues
2. Competing priorities",
RFT-022,ASA - Navigational Aids Design Interface,Risk of delay in acceptance of ASA Civil works - navigational aids - final completion,"1. Interface & coordination issues
2. integration issues",
RFT-023,Cut  Slope Stabilisation,Risk that additional cut  slope stabilisation is required as a result of geotechnical conditions  temporary works design,"1. geotechnical conditions vary from assumptions
2. temporary works design requirements increase over & above assumptions",
RFT-024,Underbore / Pipejacking beneath existing airport assets ,Risk of damage to existing runwaytaxiway surfaces due to settlement / vibration / unforseen ground conditions / existing asset condition,"1. vibration during no. 6 underbores under existing runway  taxi way
2. existing asset condition",
RFT-027,Existing Utlities - Protection Measures,Risk of project needing to install additional protection measures over  above assumptions for critical utilties,"1. Utilty authority requires additional protections measures in place in order to gain approvals

'1. Operational buried HV Cables and planned construction crossings
2. Existing Sewer construction crossing
3. Existing sewer path redirection
4. Local Glide Path Radar Buildings
5. Existing ICT cabling
6. Melbourne Water Main
7. Temporary Works Related Utility impacts
notes ",
RFT-003,"Unknown Utilties - Landside 
",There is a risk that unknown utility location  existing asset condition impacting staging  interface - LANDSIDE,"1. uncertainty - unavailability of survey information
2. incomplete  aged nature of as builts
",
RFT-031,The Staged Handover for Practical Completion,There is a risk that staged Practical completion of asset systems or subsystems may introduce testing and commissioning complexities that need to be managed,"1. Finalisation and removal of temporary Works to and end state implementation.
2. Progressive stages implementation of deep can intensive runwaytaxiway lighting into the pavement.
3. HV Cabling and Substation stages Commissioning and acceptance testing
4. ICT cabling and Systems Integration with Existing and new progressive assets
5. Enabling works such as storm water management, settlement Pond locations and usage. ",
RFT-032,Design Authority Approval,There is a risk that Risk that M3R JV are required to submit for an additional IFR review gate (20 days) to demonstrate evidence as to comments closed. ,"1. Multiple APAM operator stakeholders
2. Re-submission of IRF due to significant comments received requiring evidence of close out  design solution 
3. Uncertainty with definition of role of Concept Guardian (BECA  Arup) - owners engineer  independant verifier process unclear
4. Additional comments & technical questions from Concept guardian re changes to reference design  departure requests",
RFT-033,ORAT Asset Certification - approval may not be achieved as per schedule timeframes,There is a risk that the ORAT Activation or Transition may not be able to be achieved as per schedule timeframes,"1. unexpected requirements
2. uncertainty 
3. competing stakeholder requirements
4. ORAT completed by others - CASA  ASA",
RFT-042,Long Lead Pre-Cast Procurement - Domestic,Risk of delay of long lead domestic procurement items - precast bridge beams & RCP Pipes (up to class 10),"1. competing projects
2. constrained market",
RFT-044,Aviation Asset Closure & Commissioning,"Failure to secure runway or taxiway closures required for construction, handover, and commissioning activities.","Asset closures impact aircraft scheduling, requiring upwards of 9 months lead time for planning and consultation.",
RFT-045,0927 3 month Runway Closure,There is a risk that Risk of completion of all activities  activities in a runway closure window may not be achievable prior to runway shortening,"1. productivity limitations - critical mass
2. inclement weather",
RFT-046,Overseas Procurement of critical long lead items,Risk of delay or damage during delivery of overseas procured items - HV cables kiosks AGL equipment,"1. shipping delays  macro economic events
2. incident during transportation",
RFT-047,Airside Closure Schedule,Risk that baseline shutdown  clousures are cancelled or shortened impacting ability to complete critical project activities ,"1. competing priorities
2. APAM change in schedule",
RFT-048,AGL Systems Integration Approvals,Delays in approval of systems  system integration - AGL approval ,1. AGL delay to approvals,
RFT-052,Pavement Material Quality,There is a Risk of being able to source required volumes at consistent quality of pavement materials fine crushed rock to meet Aircraft Pavement Specifications ,"1. Quarry's not used to providing to aircraft pavement specifications
2. Large volumes of materials required",
RFT-053,Design Authority Approval - Airport Building Controller,There is a Risk that M3R JV are required to re-submit for an additional review period following initial IFA submission to ABC in order to obtain PERCOW,"1. incomplete design documentation & submission
2. rejection of design solution
3. design doesn't achieve master planning requirements",
RFT-054,Regulator & Department Review Delays,"Delays in receiving Controlled Activity Approvals or MOWP clearances from CASA, ASA, or the Department (DITRDCSA).","Regulatory workload; 6-month lead times for controlled activities where application amendments or RfIs can ""re-start the clock"".",
RFT-056,Design Interface Delays - ASA including Airport Fire Fighting,Risk of coordination issues during detailed design development resulting in programme,1. Interface & coordination issues,
RFT-057,Material Re-Use - Earthworks Strategy,Risk that material re-use strategy isnt able to be achieved  import of material is required for Deep fill locations,"1. in-situ material doesn't meet specifications
2. significant volumes of material required for deep fill locations
3. high quantity of rock volumes",
RFT-061,The Growling Grass Frog may need to be Relocated or Protected,There is a risk that the Arundel creek and adjacent wetland and grass areas is a habitat for the Growling Grass Fog that is a threatened species that may need to be protected. ,"1. The growling Grass Frog are classified as  a threatened species that require habitat protection in accordance with EPBC with any M3R actions requiring ministerial approval
2. A significant portion of the Arundel creek will need to run under the M3R and its riparian grassland repurposed.
3. A growling grass From habitat relocation plan that includes habitat connectivity rather than isolation or exposure to construction contamination handling",
RFT-062,PFAS Leachate,Risk that PfAS leaches into surrounding waterways impacting compliance  environment protected fauna,"1. Dewatering volumes within contaminant classified excavated spoil stockpiles need to be treated to remove contaminants and protect Riparian creek water health and Fauna habitats 
2. EPA PfAS Downstream testing",
RFT-065,Surface Water Contamination,Risk that greater volumes of surface water require treatment for contamination over / above assumptions impacting Earthworks Strategy,1. Additional contamination- requiring treatment,
RFT-066,Unknown Utilties - Airside Minor ,There is a risk that Unknown utility location  existing asset condition impacting staging  interface - AIRSIDE,"1. uncertainty - unavailability of survey information
2. incomplete  aged nature of as builts",
RFT-067,Unexpected Finds - European / Cultural Heritage Artefacts,There is a Risk of finding residual cultural heritage  european heritage items following salvage operations ,"1. residual artefacts not collected during initial salvage operations
2. Resource limitations - Wurunjderi",
RFT-069,Arundal Creek Main - Site Inundation,There is a risk of inundation of construction site due to severe wet weather events may result in additional water flow management,"1. severe inclement weather
2. failure of ERSED controls",
RFT-070,Contamination Quantities - PfAS,there is a risk that additional quantities of PfAS contaminated spoil may be found during earthworks  require treatment  disposal (Level 3 and 4),1. additional contamination over & above assumptions,
RFT-072,Earthworks Plant Constraints - OLS / PANOPs,There is a risk that risk that OLS / PANSOPs  may lead to additional restrictions for earthworks plant over and above assumptions,1. Airside Safety requirements,
RFT-073,Productivity - Interface of Crews,There is a risk that the interface of multiple crews earthworks  pavement  drainage  PUP in constrained site boundaries assumed productivities may not be achieved. ,NA,
RFT-074,Earthworks Volumes - Compaction,There is a risk that consolidation of fill materials may increase in  earthworks volumes.,1. Due to settlement over-compaction,
RFT-075,Plant  Equipment Availability,There is a risk that large sized plant  equipment may not be available locally in Victoria.,1. Unable to source Macro Roller  Mining Size earthworks machines,
RFT-076,Specialist Plant Operators,Risk that project is not able to secure experienced large plant operators within Victoria - local to project  need to source as FIFO resources,NA,
RFT-077,Industrial Relations,There is a risk of Project specific Industrial action impacting program productivities,"1. Client Protected Industrial Actions
2. Project Trade Union Protected Indudtrial action",
RFT-078,Growth in ERSED Controls and Management Requirements,There is a risk of growth in ERSED Management controls tha may be required to mitigate inclement weather and ensure continued compliance with Environmental protocols  protected species management requrie,"1. severe inclement weather
2. failure of ERSED controls",
RFT-079,Plant  Equipment Breakdowns  Maintenance,There is a risk of excessive plant and equipment that may breakdowns. impacting program and productivities,NA,
RFT-008,"Airside  Landside Security Fencing Approvals 
",Risk of delays in approval from security of proposed scope.,1. delay in approvals from APAM security ,
RFT-080,"Risk of excessive inclement weather - Heat
",There is a risk that Heat may prevent project activities being conducted as planned to schedule,"1. High Heat temperatures prevent pavement constrution Tarmac or Concrete
2. Sun stroke and high temperatures exceed safe workibng conditions",
RFT-081,Risk of excessive inclement weather - Cold,There is a risk that Cold temperatures may prevent project activities bein conducted as planned to schedule,"1. Cold temperatures are too low and prevent pavement constrution Tarmac or Concrete
",
RFT-082,Risk of excessive inclement weather - Wind,There is a risk that high Wind conditions may generated dust or FOD  that are a hazard for Air Operations,"1. Dust
2. High Winds",
RFT-083,Inclement weather - Subgrade Proof Roll,Inclement weather impacting subgrade for commencement of pavement layers - unable to pass proof roll requirements,NA,
RFT-084,Availability from APAM nominated locations - Construction Water ,There is a risk that volumes or water pressure is limited from nominated APAM main take-off locations. ,"1. drought conditions
2. APAM have competing priorities re potable water",
RFT-085,Availablity of Topsoil for Landscaping,There is a risk that due to competing local projects and developments M3R are not able to source required volumes of Topsoil to complete landscaping,"1. deficit onsite
2. competing projects & developments",
RFT-086,Geotechnical for Utilties  Drainage Excavation,There is a risk that geotechnical conditions for drainage  utilities excavations are worse than assumed impacting productivities additional unsuitable or rock,1. additional unsuitable or rock,
RFT-087,Risk of Inclement weather - FOG - AIRSIDE ,There is a risk of Fog impacting ability to achieve programme for airside works during fixed airsifde closures ,1. fog impacting visibility ,
RFT-089,Airside Security Checks,There is a risk that a large number of contractors required to complete airside works may create a bottle neck in security screening over  above construction programme assumptions,"1. security & screening delays
2. large number of contractors - more than APAM secrity can manage",
RFT-009,"Airside Perimeter Security Fencing integrity 
",There is a risk that Perimeter security fencing of the M3R airside footprint revisions may undergo several operational readiness activation and transition approvals.,"1. Integrity of Airside security is compromised by frequently applied amendments in the airside vs land side delineation changes required during construction before final completion.
2. Landside construction site security access from external access gates or Airside Landside transit gates does not retain adequate Airside security requirements, integrity and continuity.",
RFT-090,Geotechnical - Earthworks Excavation and Fill Quantities,There is a risk of additional unsuitable excavated material for re-use requiring remove  replace during earthworks,1. additional unsuitable or rock,
RFT-091,Project Embargo Periods - Airside,There is a risk that there may be additional unforseen embargo events that place restrictions to programme,1. Unknown or predictable embargo events ,
RFT-092,Drill and Blast restrictions placed on existing Infrastructure,There is a risk of drill  blast activities being limited that may impact productivity,"1. high vibration  noise  dust levels of drill & blast activities
2. Airside Hazards from  fly rock, noise & vibrations - airport & utilties (including MW main) ",
RFT-094,Arundal Creek - VE Settlement,Opportunity to reduce settlement period for Arundel Creek ,1. optimisation of ground parameters ,
RFT-095,Aircraft Rigid Pavements - VE Pavement Types  Extent,Opportunity for optimisation of extent of Aircraft rigid pavement types,1. Reference design specifies different forms of pavement types which may be conservative,
RFT-096,Pavements - VE Pavement Thicknesse,Opportunity for optimisation of Pavement profile extent thicknesses,"1. refining thicknesses of pavements based on CBR, concrete strength & earthworks composition
 Optimisation of Rigid Pavement PCP Layer thickness using 5.4 Mpa flexural strength
 Enhanced CBR using granular working platform combined modulus
 Optimisation of subbase material to utilise Vicroads Class 3 & 4 rock
 Optimisation of FCR Layering in flexible pavements
 Flexible alternative to composite pavement 
 CompositeFSV pavement alternative for expedient pavements for 4-week closure pavements (not required to be trafficked each night)",
RFT-097,Underpass Structure - VE Precast Solutions,Opportunity for optimisation of underpass structure,1. design optimisation  changes to precast solutions (precast arch alternative  Integral Super-T  Top Down Voided Slab),
RFT-098,Suspected Act of terrorism,Risk of delays  interruptions as a result of suspected act of terrorism imacting security  APAM OM controls,"1. Suspected act of terrorism wihtin airport boudaries
2. Esclation of a security breach",
RFT-099,Industrial Relations - APAM OM,There is a risk of APAM OM Industrial action impacting access program  productivities,1. APAM O&M personnel - protected Industrial Actions impacting access and WSO availability & security clearences,
CTAN-C05,Pavement Rework/Soft Spots due to Weather,"Risk that inclement weather causes rework and soft spots in earthworks or pavement layers (e.g., Class 3 Crushed Rock) during the construction period for access roads and haul roads.",Inclement weather causing soft spots in earthworks or pavement layers .,
CTAN-C06,Delayed Edge Protection on Retaining Walls,Risk of a safety hazard (leading edge) where precast concrete barriers are installed later than the capping beam and lagging on the retaining wall system (Operations Road Realignment).,Barriers are installed after the completion of the lagging.,
CTAN-C07,Concrete Slump/Quality Failure (Barriers),"Risk that the concrete used for slipform barriers (e.g., Vic Roads F-shape TL-5) has a slump result outside the permissible tolerance limits specified in AS 1379, leading to material rejection or quality defects.",Concrete used for slipform barriers has a slump result outside permissible tolerance limits (AS 1379).,
CTAN-C08,String Line Movement during Slipform,"Risk that the surveyed string line, critical for the alignment of slipform concrete barriers, is accidentally moved out of position by workers or vehicles during the extrusion process, resulting in alignment errors.",Surveyed string line accidentally moved out of position by workers or vehicles .,
CTAN-C09,Water Ingress in Underpass Excavation,Risk of significant water inflow or inundation in the deep excavation required for the underpass raft slab before the permanent drainage system is fully installed.,Water inflow/inundation in deep underpass excavation .,
CTAN-C10,PCC Formwork Productivity Constraint,Risk of slowed productivity for the construction of Portland Cement Concrete (PCC) rigid pavement runs due to the required minimum curing time for the forms to remain in place.,Forms are required to remain in place for a minimum of 12 hours after placement of concrete.,
CTAN-C11,Haulage Damage to Granular Pavement,Risk that heavy haulage vehicles (highway trucks > 30T ADT) used to deliver crushed rock or subbase materials damage the underlying granular layers during pavement construction.,Use of highway trucks (> 30T ADT) to haul materials from stockpile/quarry.,
CTAN-C12,Uncovered Subsurface Drainage Trenches,"Risk that subsurface drainage trenches (pavement drainage) are left exposed at the end of a shift, posing a safety hazard, impacting ERSED requirements, and risking inundation from standing water.",Trench left exposed at the end of a shift.,
CTAN-C13,Trench Collapse in Deep Drainage,Risk of trench collapse and resulting worker safety issues during excavation for drainage pits and pipes deeper than 1.5m or 2m.,Excavation for drainage pits/pipes deeper than 1.5m or 2m without adequate support.,
CTAN-C14,Rock Impact on Drainage Excavation,"Risk of encountering substantial rock volumes in deep drainage cuts (especially in the South Existing Taxiway and Energy Dissipator Outlet areas), significantly delaying pipe laying productivity.","Encountering substantial rock volumes in deep drainage cuts (South Existing Taxiway, Energy Dissipator Outlet areas).",
CTAN-C15,Heavy Crane/Hardstand Requirement for Drainage,"Risk that the installation of large drainage pipes (1500mm diameter or greater) requires specialized heavy craneage and extensive temporary hardstand, impacting logistics and cost.",Installation of large diameter pipes (1500mm diameter or greater).,
CTAN-C16,Airside Open Trench/Stockpile FOD Risk,"Risk of Foreign Object Debris (FOD) or operational hazards caused by open drainage trenches or material stockpiles in airside areas (e.g., near RWY 09/27 shortening works).",Open trenches or material stockpiles in airside areas .,
CTAN-C17,Existing Drainage Pit Condition for Tie-ins,"Risk that new drainage pipes cannot connect to existing pits because the existing pits are in poor condition or require excessive cleaning, creating time delays and requiring confined space entry.",Poor condition or excessive cleaning required for existing pits.,
CTAN-C18,Underpass Fire Safety Design Gaps,"Risk of non-compliance due to outstanding assessments for the underpass structure regarding flame trap, hydrocarbon design fire resistance requirements, and blast analysis.","Flame trap, hydrocarbon design fire resistance requirement and blast analysis is still to be assessed.",
CTAN-C19,Jetblast Impact on Runway 16R Navaids,"Risk that the pre-threshold area of Runway 16R results in high jetblast on the localizer, potentially impacting the Near Field Monitor (NFM) which cannot be subjected to significant jet blast.",High jetblast on the Runway 16R localizer in the pre-threshold area.,
CTAN-C20,Underpass Access Door Conflict,Risk that the proposed access door between landside and airside in the underpass structure cannot reconcile the need to be accessible during emergencies versus the requirement to remain securely locked to separate landside and airside.,Conflict between the need for emergency accessibility versus secure separation of landside and airside.,
CTAN-C21,Optimisation of Access/Verge Drainage,"Opportunity to adopt a free draining verge (outside of the runway formations) for perimeter and access roads by adjusting grade lines, potentially improving construction efficiency and removing the need for subsurface drainage.",Adjusting grade lines when outside of the runway formations.,
CTAN-C22,Removal of Northern Bridge Central Pier,"Opportunity for optimization of the Northern Bridge structure by removing the central pier and utilizing a deeper Super-T beam, potentially reducing construction complexity and time.",Structural simplification by removing central pier and using deeper Super-T beam.,
NA-C001,Unknown / uncertain services - incl. services with no / limited information,"Risk of unknown utilities or services being in different locations than data received, impacting staging, excavation, and potentially leading to strikes. This covers landside and minor airside uncertainty.",Incomplete or inaccurate existing utility records; unverified locations.,
NA-C002,HV feeder - LV,"Risk of clashes, failures, or delays associated with the staged HV feeder installation (new feeders N and M) and its interaction with existing LV networks or critical substations during changeover and commissioning.",Complex HV/LV interface; condition or configuration of existing assets.,
NA-C003,ICT interface. APAM building /CCTV installation; ASA equipment installation,"Risk of delays or non-conformance due to complex interfaces during the installation and integration of ICT systems, including AGLCMS development with Airservices Australia (ASA), and installation of CCTV, PAPI, and SMR units in coordination with civil works.",Multiple stakeholders; unclear responsibilities; incomplete design.,
NA-C004,Time for approval / commissioning,"Risk of schedule delay due to protracted approval periods (e.g., ABC PERCOW or Occupation Certificate), or T&C complexities related to phased system handovers and isolation requirements.",Long statutory/authority approval cycles; phased handovers.,
