id,Title,description,cause,url
NA-C005,AGL installation and interface with pavement installation,Risk that Pavement laying Productivity may be impacted by Lighting cable runs and deep base can vertical positioning accuracy requirements within the crushed rock layers.,Tight tolerances for AGL elements; sequential dependency with pavement.,
NA-C006,Initiatives and value adding - pavement design and optimisation,"Opportunity to optimize the extent of rigid pavement types (RFT-95) or improve productivity by seeking dispensation from prescriptive requirements (e.g., polythene sheeting for forms).",Ability to refine design vs prescriptive requirements.,
NA-C007,Batch plant and quality,Risk of Batch Plant setup or breakdown (RFT-108) or being unable to source consistent quality of pavement materials (RFT-52).,Equipment failure; inconsistent quarry supply; limited redundancy.,
NA-C008,Querry (Quarry),"Risk related to sourcing required volumes of quality pavement materials (e.g., fine crushed rock) from quarries not typically accustomed to Aircraft Pavement Specifications.",Quarries not meeting spec; supply variability.,
NA-C009,Inclement weather impact,"Risk of disruption to airside productivity, high winds/FOD, or rework and soft spots in earthworks/pavement layers due to inclement weather.","High winds, rainfall, stormwater affecting work areas.",
NA-C010,Arundal drain (deep),"Risk associated with the large, deep drainage construction for the Arundel Creek culvert (~562m of 2100mm pipe), requiring significant earthworks/fill (~12m fill prior to pipe installation).",Large trench depth; high water table; long alignment.,
NA-C011,"Program - drainage, flow of water and runoff management","Risk that ERSED management controls are insufficient for extreme weather or fail, leading to contaminated surface water runoff, especially around Arundel Creek (RFT-62, RFT-78).",Insufficient capacity of erosion control systems.,
NA-C012,Security of construction site (plans in place to control - access to airside),"Risk of access control failure, security breaches, or bottlenecks during airside security checks for workers [RFT-89]. The requirement for high security fencing with CCTV and gatehouses is part of the scope.",High worker volumes; limited processing capacity; equipment failures.,
NA-C013,Interface with envron for ground prep,"Risk of delays/rework due to interfaces with environmental constraints (Growling Grass Frog, Native Vegetation, PFAS, Heritage) during site clearing and ground preparation.",Environmental protection requirements; approvals; sensitive areas.,
NA-C014,Stabalisation of low CBR material for perimeter road (additional importation of materials to replace),"Risk that unsuitable subgrade (low CBR material) for the perimeter/access roads requires intervention (remove/replace) leading to additional time/cost for stabilisation and material import (e.g., rock blankets, lime stabilisation).",Weak subgrade; weather effects; variable material quality.,
NA-C015,Southern perimeter road - utility connection to ALER building (general risk for both ALER),"Risk of interface or protection issues during connection of HV/LV, comms, firemain, sewer, and water services within the concrete-encased ""utilities corridor"" of the Southern Access Road and their tie-in to ALER 6/7.",Congested utility corridor; unclear protection requirements.,
NA-C016,Risk of recoating or repair / protection of the Melbourn water asset north of site 1150 MSCL pipe (1978 with 100 years design life). ,"Risk of damage or required recoating/repair to the critical Melbourne Water Main (DN1150) during construction adjacent to the mass haul route, requiring costly protection measures.",Proximity of haul route; shallow cover; ageing asset.,
ECI-C001,Sewer / water outside of project boundary (possible council / private land),"Risk that required relocation or new connections for water and sewer assets are constrained by external authority (e.g., Western Water, Council) or private land ownership/access requirements outside the immediate APAM project boundary, causing delays or scope changes.",Third-party land requirements; authority constraints.,
ECI-C002,Alignment of pavement price and CTAN,"Risk that the construction methodologies detailed in the C-TANs (e.g., specialized plant requirements, multi-layer curing times, specific quality controls) impose a higher cost or lower productivity than assumed in the original tender price/estimate base, leading to cost overrun.",CTAN prescriptive requirements; specialised plant; long curing times.,
ECI-C003,Compound Approval & Site Establishment,"Delays in establishing SP0 site compounds, batch plants, and temporary facilities.","Requirement for ABC Permits (90 days), tree removal permits (10 days), and potential PFAS management approvals.",
ECI-C004,Utilities (Telstra and fire) interface for bridge construction (waiting for Telstra response),Risk of schedule delay due to slow or protracted response/cooperation from non-contestable utility providers (like Telstra) required for the relocation or confirmation of alignment for services (Telstra line) interfacing with the underpass/bridge construction.,Third-party dependency (Telstra); long lead times.,
ECI-001,Northern Access Road over the Melbourne Water Main,"Construction of the Northern Access Road over the Melbourne Water large diameter transfer Main is subject to Melbourne Water performance requirements, which are likely to include extensive asset protection requirements and monitoring during construction (RFT-027 / BECA-022)","1. Temporary construction traffic load
2. Impacts from Blasting the Granodiorite",
ECI-002,Rock Encountered in Deep Drainage Trenching,"Risk of encountering unassumed or substantial Newer Volcanic Rock or Bulla Granodiorite during trench excavation for drainage pipes (particularly in Runway North, South Existing Taxiway, and Energy Dissipator outlet areas).","Geotechnical conditions vary from assumptions, specifically concerning the depth and hardness of Newer Volcanic Rock or Bulla Granodiorite materials.",
ECI-003,Trench Collapse/Worker Safety in Deep Excavations,"Risk of trench collapse during deep drainage installation (pits up to 7.9m deep) or open trenches exceeding 1.5m, posing a direct threat to worker safety.",Lack of adequate temporary works (shoring/benching) in trenches deeper than 1.5m; placing excessive construction loads/plant near trench edges.,
ECI-004,Productivity Impact from Blasting Restrictions,"Risk that restrictions on drill and blast activities (required for approx. 450k bcm³ of rock excavation) due to vibration, noise, dust, or fly rock, limit working hours or intensity.","High vibration/noise/dust levels near existing sensitive infrastructure (e.g., Melbourne Water main, Navaids); potential for airside hazards (fly rock).",
ECI-005,Disruption from Construction Height/Crane Usage near Airspace,"Risk of delays or operational disruption due to large plant (e.g., 100T crane or piling rigs) exceeding height restrictions imposed by OLS (Obstacle Limitation Surfaces) or PANS-Ops surfaces.","Required equipment (cranes, piling masts up to 22m) exceeding the 7m height restriction near existing or prescribed airspace.",
ECI-006,HV/LV and People/Plant Incidents on Haul Routes,"Risk of safety incidents involving pedestrians, light vehicles (LV), and heavy vehicles (HV) due to large volumes of heavy plant operating across multiple congested work fronts.",Plant-people and HV/LV plant interactions; large volumes of heavy plant; insufficient segregation of traffic types.,
ECI-007,Airside Access and Security Bottleneck,"Risk that the process of Airside Security Checks creates bottlenecks for the large number of contractors required for airside works, resulting in lost productive time.",Security and screening delays; APAM security may not be able to manage the large peak workforce volume; compulsory site crew travel to landside sheds for breaks.,
ECI-008,Contamination Transfer and Water Treatment Failure,"Risk that PFAS contamination (Levels 3 and 4) is spread to clean areas or leaches into Arundel Creek, compromising protected habitats and requiring expensive water treatment.","PFAS contaminated material is at the surface, competing with the need for clean fill; failure of ERSED controls during severe weather events.",
ECI-009,Asset Handover Delay by ASA Resource Availability,Schedule delays in handing over physical assets (conduits and foundations) installed for Air Services Australia (ASA) in the Civil Service Road due to ASA resrouces availability issue.,ASA don't have sufficient resources for asset handover or ASA don't prioritise availability to support essential site witnessing activities,
ECI-010,AGL Subcontractor Unable to Adquately Staff the Installation Work,"The scope of work for ADB and Avionics may exceed their local construction capacity. If the subcontract is not propoerly staff the installation team, the JV may end up taking some part of the work which will introduce commerical complications and possible program delay.",ADB and Avionics don't have enough capacity in Australia to staff their scope of work,
ECI-011,Unclear CASA Commissioning Responsibility (Interim Risk),"Delays in commissioning activities and final handover due to the undefined boundary of responsibility concerning Civil Aviation Safety Authority (CASA) approvals. Commissioning activities, such as testing the PAPI lights on the runway on 09/27, require a ""flight test and needs to be approved by casa"", but the contractor's precise responsibility limit is ""not clear"".
This is an interim risk for ECI to be closed before submission",Yet to be clarified and agreed commissioning responsbility with CASA,
ECI-012,Pavement Damage from Temporary AGL Protection,"Risk of damaging finished pavements, including potential cracking, due to construction protection measures over AGL light cans.","Steel plates are temporarily placed ""on top instead of the light"" to shield the light bases from construction traffic.",
ECI-013,Ambiguity in BOM Interface Role (Interim Risk),Uncertainty regarding the main contractor’s exact role and responsibilities concerning the Bill of Materials (BOM) process,"The contractor provides input to the BOM, but the precise scope demarcation lacks formal clarity.",
ECI-014,Installation and Commissioning of Novel Flywheel UPS System,"Risk associated with the installation and commissioning of the new HV/LV flywheel UPS system, intended to provide ""60-second standby"" power",Novel implementation of flywheel UPS system in Australia and for APAM,
ECI-015,Melbourne Water (MW) Consent & Blasting,Delays in obtaining written consent for blasting or works adjacent to MW water mains.,Need for MW asset protection; blasting activities trigger complex MOWP reviews and utility-specific consent requirements.,
ECI-016,Cancellation of airside works due to poor visibility or other operational reasons,,,
ECI-017,ASA/AIRAC Alignment,Failure to align the completion of works with the ASA aeronautical data update cycle.,"High-impact changes (e.g., new runway) must be published in the AIP on specific AIRAC dates, which are set up to 2 years in advance.",
ECI-018,Encroachment Outside Approved Footprint,Work occurring outside the approved impact area boundary defined in the MDP.,Inadequate environmental design or construction planning.,
ECI-019,"Unsuitable Material Reuse (NV RS, BG XW, OV XW)","Material units that may not meet engineering requirements without modification, such as specific rock/weathered materials (e.g., Newer Volcanics (NV RS), Bulla Granodiorite (BG XW), Older Volcanics (OV XW)).","NV RS, BG XW, or OV XW materials may not meet requirements for use as Type 2B or Type 2C without lime stabilisation.",
ECI-020,AF-G11 Material Processing Risk,Potential difficulty in reusing AF-G11 fill material due to composition and variability.,"AF-G11 fill material contains anthropogenic materials, rock fragments, wood, and other deleterious materials. Material may be too fine-grained.",
ECI-021,Oversize Particles in Fill/Topsoil,Materials generated may contain a high proportion of oversize particles requiring additional work.,High proportion of granular material or oversize particles in fill and topsoil materials.,
ECI-022,Low CBR Material Swell,Material designated as Type 2B (NV RS in deep fill) may exhibit undesirable CBR properties.,Available data suggests some low CBR materials and excessive swell potential (particularly NV RS).,
ECI-023,Geological Unit Variability,Risk associated with the variability in the extent and thickness of different geological units across the site.,Natural geological conditions and inherent spatial uncertainty.,
ECI-024,Gate 11 Composition Uncertainty,Limited geotechnical information regarding the composition of the Gate 11 Facility stockpiles.,Lack of comprehensive investigation data at the RD Phase.,
ECI-025,Heave or Shrinkage of Type 2B Clay Fill,Potential for long-term heave (swelling) or shrinkage of clay fill used as Type 2B material.,"The use of materials with high plasticity, or if the material is not placed and compacted close to the SOMC (Standard Optimum Moisture Content) or maintained at a stable moisture content in the long term.",
ECI-026,Subsurface Data Deficiency (CBR/Swell),Limited information about subsurface conditions in some areas at the RD Phase.,"Lack of specific laboratory test results for CBR and CBR Swell values at high surcharge loads, equivalent to pavements that are 0.6 m and 1.2 m thick.",
ECI-027,Earthworks Delay: Weather Impact,The potential impact of adverse weather conditions (wet and dry/windy) on earthworks operations.,Natural meteorological conditions (wet/dry/windy).,
ECI-028,Earthworks Delay: Water Availability,Risk concerning the availability of water during construction.,Insufficient external supply or logistical constraints.,
ECI-029,Earthworks Risk: Material Supply,Risk relating to the reliable availability of construction materials.,Potential variability in different geological units affects predictable material quantities/quality.,
ECI-030,Earthworks Delay: QA/QC Turnaround,Risk associated with the turnaround times for Quality Assurance (QA) and Quality Control (QC) checks.,Time required for laboratory processing and verification.,
ECI-031,Sustainable Materials/Technologies,"The use of sustainable materials and renewable technologies, such as solar, can reduce the operational and delivery costs for projects, while promoting environmental sustainability.
To detail technologie and conduct assessment respectively in line with estimates",Adoption of renewable technologies and materials.,
ECI-032,Sustainability Initiative Costs,"Sustainability initiatives, while environmentally beneficial, may increase project delivery costs and timeline due to added complexity or specialised materials.
To detail initiatives and assess respectively in line with estimates",Complexity of sustainable practices and technologies.,
ECI-033,Material Price Fluctuations,"Fluctuations in material prices and availability may impact project budgets and timelines, particularly for items like bitumen and cement.
To detail the materials / packages and cause of price changes. 
 - procurement risk or
 - estimate uncertainty","Market volatility, inflation, and supply chain issues.",
ECI-034,Regulatory Changes and Non-Compliance,"Changes in sustainability regulations, such as NGERs (National Greenhouse and Energy Reporting Scheme) or Corporations Act requirements, may lead to non-compliance if not addressed.
Keep this generic. Check with Nick on commercial relief in the contract",Evolving regulatory landscape and insufficient compliance measures.,
ECI-035,Insufficient Waste Management Practices,"Insufficient waste management practices can lead to environmental pollution, degradation of natural ecosystems, and non-compliance with sustainability standards.
To be reworded in a positive way BAU, no impact expected. For management only.","Lack of proper waste segregation, recycling, and disposal processes.",
ECI-036,Non-Conformance of Recycled Materials,"Recycled materials or biomaterials may fail to meet project design specifications, which could negatively impact asset performance and durability.
To be reworded in a positive way BAU, no impact expected. For management only.",Insufficient testing by suppliers or inconsistent material quality.,
ECI-037,Water Scarcity,"Increasing water scarcity and competition for resources may affect availability for construction tasks such as dust suppression, concrete curing, and landscaping.","Drought, climate change, and regional water supply limitations.",
ECI-038,Air and Water Pollution,"Construction activities may lead to air and water pollution, causing harm to ecosystems, regulatory penalties, and health impacts on local communities.
To be detailed to activities causing this risk. no impact expected. For management only.","Dust, emissions, sediment runoff, and accidental spills during construction.",
ECI-039,Habitat Loss,"Construction activities may lead to habitat destruction and biodiversity loss, affecting native species and causing project delays due to environmental concerns.
To be detailed to activities causing this risk. no impact expected. For management only.","Removal of vegetation, land clearing, and disruption of ecosystems.",
ECI-040,Climate Change and Extreme Weather,"Climate change and increased frequency of extreme weather events (e.g., floods, heatwaves) may disrupt construction activities and pose safety risks.
To be detialed to address construciton / program assumptions and commercial entitlement in extreme scenario",Global climate changes and unpredictable weather patterns.,
ECI-041,Hazardous Material Exposure,"Exposure to hazardous materials, such as PFAS contamination, can pose health risks to workers and the community, as well as lead to regulatory breaches and costly remediation.
To be reworded in a positive way BAU, no impact expected. For management only.",Presence of contaminants on-site and improper handling.,
ECI-042,Limited Sustainable Material Availability,"Limited availability of sustainable materials, such as recycled concrete or low-carbon steel, may impact sustainability targets and increase project costs.
To detail specific materials and assess respectively in line with estimates",Insufficient supply chains and supplier capacity.,
ECI-043,Community Dissatisfaction,"Lack of community engagement can lead to dissatisfaction, opposition to projects, and public protests, delaying progress and harming reputation.
To detail key stakeholders and detail comms management stategy
To be reworded as an opportunity -efficient and effective stakeholder and community engagement and management",Inadequate consultation and feedback mechanisms.,
ECI-044,Poor Waste Management,"Inefficient waste management and resource recovery can lead to excessive landfill use, missed recycling opportunities, and non-compliance with sustainability standards.
To be reworded as an opportunity in conjunction with detailed mass haul management strategy",Lack of robust waste management systems and oversight.,
ECI-045,Air Quality: Dust and Emissions (including PFAS dust),"Earthworks, excavations, hauling, and operating heavy plant.","Generation of dust (PM10/PM2.5), particularly from PFAS-impacted soils. Exhaust emissions.",
ECI-046,Blasting Impacts,Use of explosives during project activities.,"Blasting impact on soil, noise, vibration, and ecology.",
ECI-047,Contamination: Buried Asbestos (ACM),"Disturbing or excavating suspected buried Asbestos Containing Material (ACM) during earthworks in high-risk zones (e.g., former buildings, landfills, disturbed land, AECs 1–17).",Earthworks below surface level in areas designated as having a 'Likely' or 'Known' asbestos potential.,
ECI-048,Contamination: Imported Material Risk,Acceptance of imported soil or engineered materials that do not meet acceptance requirements.,Failure to adequately check and classify incoming material.,
ECI-049,Contamination: PFAS Migration / Mobilisation,Excavation and movement of widespread PFAS-impacted soil (PFOS and PFHxS).,Insufficient segregation of high (Level 3/4) and low/fill impacted soil. Disturbing PFAS material increases potential for mobilisation via runoff/dust.,
ECI-050,Contamination: Surface Asbestos / Fly Tipping,"Disturbing visible surface asbestos debris (e.g., fibre cement sheet, moulded cement debris) in creek beds, former laydown areas, or due to fly tipping.",Construction activities in surface remediation areas (AOC A-H).,
ECI-051,Contamination: Unexpected Sub-Surface Finds,"Encountering previously undetected contaminants (CoPC) or materials, including asbestos, TPH, OCPs, or heavy metals.",Failure of the pre-construction sampling and analytical program to detect certain sub-surface contamination. Excavation within or adjacent to identified 40 Areas of Environmental Concern (AEC).,
ECI-052,Cultural and European Heritage Damage,Ground disturbance activities in areas containing sites or items of heritage significance.,Failure to comply with Heritage Management Plans or accidental disturbance during construction.,
ECI-053,Ecological Impact: EPBC Fauna & Habitat,"Loss of habitat or injury to protected fauna (e.g., Growling Grass Frogs).","Noise and vibration impacts (e.g., from blasting). Contaminated sedimentation in waterways (habitat).",
ECI-054,Flora and Fauna / Habitat Loss,"Earthworks and clearing activities, particularly near protected ecological communities.","Potential over-clearing of EPBC nationally significant vegetation. Loss of habitat for fauna, or impacts from noise and vibration during construction (e.g., blasting).",
ECI-055,Hazardous Substances Spill,"Storage, handling, transfer, or use of fuels, oils, lubricants, compressed gases, paints, and chemicals.","Vehicle/plant leaks, or spills near sensitive receptors (drains, waterways, EPBC vegetation).",
ECI-056,Noise and Vibration Impacts,Construction activities involving heavy machinery and equipment.,Generation of noise and vibration.,
ECI-057,Regulatory Compliance Failure,Non-compliance with statutory requirements or failure to secure necessary approvals.,"Incorrect classification or disposal of waste spoil offsite (Reportable Priority Waste - RPW). Breaching EPBC Permit conditions (e.g., over-clearing MNES).",
ECI-058,Waste Management / FOD Hazard,"Generation of general waste, packaging, and green waste. Poor stockpile management.",Failure to segregate waste or poor storage practices. Waste materials becoming Foreign Object Debris (FOD) airside.,
ECI-059,Water Quality: Contaminated Water Discharge,"Accumulation of stormwater, construction water, or groundwater that requires disposal or reuse.",Dewatering or discharge of water that does not meet established water quality standards or risk-based criteria for PFAS.,
ECI-060,Water Quality: Sediment and Erosion Runoff,Stripping topsoil and extensive earthworks expose large areas. Drainage works and working over waterways.,Sediment and erosion risk from site clearing and ground reshaping (cut and fill).,
ECI-061,Water Quality: Water Reuse Risk,Using captured site water for dust suppression or compaction.,Failure to meet Human Health and Environmental Risk Assessment (HHERA) requirements for water reuse.,
ECI-062,Non-Award of Delivery Phase (ECI Investment Loss),"The Principal may elect not to proceed with the Delivery Phase or may award the works to a competing contractor, despite the Contractor having performed the Early Contractor Involvement (ECI) services.","The Principal retains absolute discretion to decide not to proceed with the ECI Phase or commence the Delivery Phase, change the procurement strategy, or engage a third party. The Principal may accept or reject any offer at its absolute discretion.",
ECI-063,ECI Phase Cost Overrun,"Costs incurred during the ECI Phase may exceed the maximum agreed limit, rendering further expenditure non-recoverable.","The ECI Phase Contract Sum (based on a schedule of rates) and ECI Phase Disbursements are capped at the ECI Phase Contract Sum (Cap), which is $12,000,000.00 ex. GST.",
ECI-064,Exposure to Undisclosed Site Conditions,"The Contractor assumes significant risk for the condition of the site, including contamination and unidentified existing infrastructure, limiting recovery for cost or time impacts.","Encountering physical Site Conditions that are not contemplated by the Contract [182(a)(i)]. Contamination other than specific exempted types (e.g., Level 5 PFAS, excess Asbestos/Hydrocarbons) [183(a), 187(a)].",
ECI-065,Delay Liquidated Damages (General),Failure to achieve practical completion of the Works or separable portions by the due date results in monetary penalties.,Delay caused by the Contractor or a non-qualifying cause of delay (QCD). Failure to meet strict conditions precedent for claiming an Extension of Time (EOT).,
ECI-066,Operational Impact Liquidated Damages,Defects or Substantial Failures having an impact on Airport Operations during the Defects Liability Period or Operational Impact Liability Period (7 years) incur penalties.,"A defect causes an Operational Impact (inhibiting Principal's ability to operate Melbourne Airport, increasing costs/liability, or diminishing revenue).",
ECI-067,Fixed Closure Period (FCP) Penalties,Failure to complete planned Work Under Contract (WUC) or temporary works within a Contractor’s Fixed Closure Period results in abatement penalties.,Contractor delay or non-performance during the allocated fixed closure time (Fixed Closure Period Delay). The scheduled time for Fixed Closure Period Completion is generally not subject to adjustment.,
ECI-068,Loss of Claims due to Time Bar,The Contractor is precluded from recovering time or costs if mandatory notice and submission requirements are not met strictly.,"Failure to provide notice of delay within 5 Business Days, or failure to submit a detailed EOT claim within 15 Business Days, or failure to notify the Contract Administrator regarding directions constituting a variation within 5 Business Days.",
ECI-069,Liability Exceeding General Cap,"Contractor liability is generally capped, but several critical areas remain excluded from this limitation, exposing the Contractor to potentially unlimited damages.","Claims arising from: Wilful Misconduct, Wilful Default, abandonment, personal injury/death, property damage (other than the Works), IP infringement, and breaches of specific clauses (e.g., Environment, OHS, Confidential Information).",
ECI-070,Inadequate Subcontractor Management,"The Contractor remains solely liable for the acts, defaults, and omissions of all its Personnel (including Subcontractors), even if they are selected subcontractors.",Non-performance or default by Subcontractors. Failure to ensure Subcontractors pay their employees/consultants.,
ECI-071,Software Deployment Delay,The Software for SP1 is developed in Australia and requires travel to Belgium and then approval back in Australia. The risk of the development time is delayed.,SP1 software development time is delayed due to interntional collaboration and approval process,
ECI-072,Fauna Relocation Approval Delays,Extended time needed to secure authorisations to move native fauna more than 100m from the clearing site.,No statutory timeframe; proposals are only reviewed during quarterly DEECA panel meetings.,
ECI-073,Groundwater Extraction Licensing -South Rural Water,Delay in obtaining a 'take and use' licence for construction water from bores or dams.,Extraction may trigger neighbour notifications and agency referral requirements.,
ECI-074,,,,
ECI-075,,,,
ECI-076,,,,
ECI-077,,,,
ECI-078,,,,
ECI-079,,,,
ECI-080,,,,
ECI-081,,,,
ECI-082,,,,
ECI-083,,,,
ECI-084,,,,
ECI-085,,,,
ECI-086,,,,
ECI-087,,,,
ECI-088,,,,
ECI-089,,,,
ECI-090,,,,
ECI-091,,,,
ECI-092,,,,
ECI-093,,,,
ECI-094,,,,